序号,"尺寸
CM
足尺
W","尺寸
CM
足尺
L","尺寸
FT","产品
图片",产品名称,公司SKU,平台SKU,ASIN,FNSKU,产品包装尺寸,,,,,,"产品+
包装重量",,外箱,,,,,,重量,,箱容,产品包装体积,,单箱体积,,"包装袋
尺寸",平米数,"成本
$",备注,,,,,,
,,,,,,,,,,"长
cm","宽
cm","高
cm","长
Inch","宽
Inch","高
Inch","单条
重量kg",磅,"长
cm","宽
cm","高
cm","长
Inch","宽
Inch","高
Inch",千克,磅,,立方米,立方英尺,立方米,立方英尺,,,,,,,,,,
36,91,152,3x5,#NAME?,现代线条粉色3*5,N1338-2-Pink-3x5,N1338-2-Pink-3x5-US-V1,B0DBYLGSS5,X004CCUYSV,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
37,152,213,5x7,,现代线条粉色5*7,N1338-2-Pink-5x7,N1338-2-Pink-5x7-US-V1,B0DBZ526W9,X004CCZF4T,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
38,183,274,6x9,,现代线条粉色6*9,N1338-2-Pink-6x9,N1338-2-Pink-6x9-US-V1,B0DBYZKLW1,X004CCZC0B,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
39,244,305,8x10,,现代线条粉色8*10,N1338-2-Pink-8x10,N1338-2-Pink-8x10-US-V1,B0DBZ1H9PP,X004CCRGUP,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
40,274,366,9x12,,现代线条粉色9*12,N1338-2-Pink-9x12,N1338-2-Pink-9x12-US-V1,B0DBZ2P8GP,X004CCX13L,46,41,29,18.11 ,16.14 ,11.42 ,11.95 ,26.35 ,48.00 ,42.50 ,28.00 ,18.90 ,16.73 ,11.02 ,12.05 ,26.57 ,1 ,0.05469 ,1.93 ,0.06 ,1.93 ,71*75+5,10.03 ,31.09 ,,,,,,,
37,152,213,5x7,#NAME?,现代线条灰底5*7,N1338-7-Grey-5x7,N1338-7-Grey-5x7-US-V1,B0DQ8PNQMC,X004HYC8T7,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
38,183,274,6x9,,现代线条灰底6*9,N1338-7-Grey-6x9,N1338-7-Grey-6x9-US-V1,B0DQ8CQ71N,X004HYB00F,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
39,244,305,8x10,,现代线条灰底8*10,N1338-7-Grey-8x10,N1338-7-Grey-8x10-US-V1,B0DQ8FXRDX,X004HY8QCP,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
37,152,213,5x7,#NAME?,现代线条深蓝线5*7,N1338-9-Indigo-5x7,N1338-9-Indigo-5x7-US-V1,B0DQ8C6CY8,X004HY1E8N,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
38,183,274,6x9,,现代线条深蓝线6*9,N1338-9-Indigo-6x9,N1338-9-Indigo-6x9-US-V1,B0DQ8D9WPY,X004HYCAEP,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
39,244,305,8x10,,现代线条深蓝线8*10,N1338-9-Indigo-8x10,N1338-9-Indigo-8x10-US-V1,B0DQ8FD32B,X004HYK0SX,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
41,91,152,3x5,#NAME?,现代米黄抽象3*5,G24136-7-Beige-3x5,G24136-7-Beige-3x5-US-V1,B0DBZ697XG,X004CCV651,31,27,9,12.20 ,10.63 ,3.54 ,1.55 ,3.42 ,54.00 ,33.00 ,33.00 ,21.26 ,12.99 ,12.99 ,17.25 ,38.03 ,10 ,0.00753 ,0.27 ,0.06 ,2.08 ,33*45+5,1.38 ,4.29 ,,,,,,,
42,152,213,5x7,,现代米黄抽象5*7,G24136-7-Beige-5x7,G24136-7-Beige-5x7-US-V1,B0DBZ76XQH,X004CCX8F7,40,30,16,15.75 ,11.81 ,6.30 ,3.70 ,8.16 ,42.50 ,32.50 ,48.00 ,16.73 ,12.80 ,18.90 ,16.15 ,35.60 ,4 ,0.01920 ,0.68 ,0.07 ,2.71 ,41*62+5,3.24 ,10.04 ,,,,,,,
43,183,274,6x9,,现代米黄抽象6*9,G24136-7-Beige-6x9,G24136-7-Beige-6x9-US-V1,B0DBYW49QF,X004CCYGD5,40,33,19,15.75 ,12.99 ,7.48 ,5.75 ,12.68 ,42.00 ,34.00 ,36.00 ,16.54 ,13.39 ,14.17 ,12.55 ,27.67 ,2 ,0.02508 ,0.89 ,0.05 ,1.77 ,52*60+5,5.01 ,15.54 ,,,,,,,
44,244,305,8x10,,现代米黄抽象8*10,G24136-7-Beige-8x10,G24136-7-Beige-8x10-US-V1,B0DBZ3PDH4,X004CD1IJ9,41,37,14,16.14 ,14.57 ,5.51 ,8.80 ,19.40 ,45.00 ,39.00 ,44.00 ,17.72 ,15.35 ,17.32 ,20.45 ,45.08 ,2 ,0.02124 ,0.75 ,0.08 ,1.50 ,65*70+5,7.44 ,23.07 ,,,,,,,
