Timestamp,03/26/25 15:28:23,,,,,,,,,,,,,,,,,,,
Merchant ID,A1SBBNS12ROFRE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Product Name,SKU,FNSKU,ASIN,Inbound to AWD (units),Inbound to AWD (cases),Available in AWD (units),Available in AWD (cases),Reserved in AWD (units),Reserved in AWD (cases),Outbound Order (units),Outbound Order (cases),Researching (units),Researching (cases),Outbound to FBA (units),Available in FBA (units),Available in FBA (days),Reserved in FBA (units),Customer Order (units),FC Processing (units),FC Transfer (units)
LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet Soft Vinatge Rug for Office Guest Room,G24267-5-Green-6x9-US-V1,X004CBJR85,B0DBVJDNXF,70,35,60,30,10,5,10,5,0,0,4,73,43,14,0,12,2
LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Vintage Oriental Farmhouse Dining Room Rugs for Under Table Indoor Carpet for Living Room,G24267-5-Green-5x7-US-V1,X004CBGERR,B0DBVNT5V3,24,6,0,0,28,7,28,7,0,0,4,6,58,2,1,1,0
LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office Home Decor,G24267-5-Green-3x5-US-V1,X004CBBSFZ,B0DBVPWW8F,80,8,20,2,50,5,50,5,0,0,22,70,90,1,0,0,1
LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24267-2-Beige-9x12-US-V1,X004CBJR4J,B0DBVN24HV,35,35,62,62,0,0,0,0,0,0,1,61,118,0,0,0,0
LUXRUG Washable Area Rug 8x10 - Large Cream Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24267-2-Beige-8x10-US-V1,X004CBGG1B,B0DBVKBXCB,88,44,162,81,0,0,0,0,0,0,0,45,118,20,0,20,0
LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet Soft Vinatge Rug for Office Guest Room,G24267-2-Beige-6x9-US-V1,X004CBGGCF,B0DBVM7S5P,20,10,22,11,0,0,0,0,0,0,2,26,67,8,0,8,0
LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Vintage Oriental Farmhouse Dining Room Rugs for Under Table Indoor Carpet for Living Room,G24267-2-Beige-5x7-US-V1,X004CBJOSX,B0DBVNXDMY,12,3,24,6,0,0,0,0,0,0,4,36,61,1,0,1,0
LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office Home Decor,G24267-2-Beige-3x5-US-V1,X004CBBRXX,B0DBVM2KQN,20,2,30,3,0,0,0,0,0,0,1,51,115,1,0,1,0
LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Colorful Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24267-1A-Cream-9x12-US-V1,X004CCPQYD,B0DBYZ1P1H,27,27,0,0,27,27,27,27,0,0,0,10,54,4,2,2,0
LUXRUG Washable Area Rug 8x10 - Large Cream Colorful Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor,G24267-1A-Cream-8x10-US-V1,X004CCRXK3,B0DBYVNMF8,44,22,0,0,44,22,44,22,0,0,0,12,34,1,0,1,0
LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Colorful Low-Pile Carpet Soft Vinatge Rug for Office Guest Room,G24267-1A-Cream-6x9-US-V1,X004CCKPG7,B0DBYV567L,24,12,0,0,24,12,24,12,0,0,2,13,39,6,0,2,4
LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Colorful Vintage Traditional Floral Dining Room Rugs for Under Table Indoor Carpet for Living Room,G24267-1A-Cream-5x7-US-V1,X004CCOSNN,B0DBYX9CK6,20,5,12,3,8,2,8,2,0,0,8,17,54,27,0,1,26
LUXRUG 6x9 Area Rug - Large Modern Abstract Washable Non-Slip Beige Stain Resistant Living Room Rug Geometric Low-Pile Soft Floor Carpet for Bedroom Dining Room Office Nursery Home Decor,G24136-7-Beige-6x9-US-V1,X004CCYGD5,B0DBYW49QF,0,0,2,1,0,0,0,0,0,0,0,23,158,1,0,0,1
