return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status	license-plate-number	customer-comments
2025-03-01T19:11:51-08:00	114-4936917-6276259	G24267-1A-Cream-9x12-US-V1	B0DBYZ1P1H	X004CCPQYD	LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Colorful Farmhouse Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	HOU3	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory	LPNPMDN6838508	
2025-03-01T12:05:16-08:00	113-5205007-4554601	G24267-1A-Cream-8x10-US-V1	B0DBYVNMF8	X004CCRXK3	LUXRUG Washable Area Rug 8x10 - Large Cream Colorful Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	TUS1	SELLABLE	NO_REASON_GIVEN	Unit returned to inventory	LPNPMDE6032970	
2025-03-01T12:00:22-08:00	112-3567200-7385806	N1338-1-Orange-8x10-US-V1	B0DBYSVWYJ	X004CCRGQT	LUXRUG Washable Area Rug 8x10 - Large Orange Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	SDF6	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory	LPNNH453QSYQL	
2025-03-01T10:26:52-08:00	114-2344386-4448241	G24268-7-Black-6x9-US-V1	B0DBYXH8YW	X004CCN2HB	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room	1	TEN1	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNPMDS3930074	
2025-03-01T09:11:51-08:00	112-5969720-9758647	N1338-3-Sage Green-5x7-US-V1	B0DBYV7V8N	X004CCZH29	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room	1	LAS2	CUSTOMER_DAMAGED	ORDERED_WRONG_ITEM	Unit returned to inventory	LPNPMDI4041599	
2025-03-01T06:08:51-08:00	111-9615569-5916236	G24136-7-Beige-6x9-US-V1	B0DBYW49QF	X004CCYGD5	LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Beige Stain Resistant Dining Room Rug Geometric Low-Pile Carpet Soft Modern Rug for Office Nursery Room	1	SDF6	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNNK4PW4T8YN	
2025-03-01T05:31:55-08:00	113-7578003-8900218	N1338-1-Orange-8x10-US-V1	B0DBYSVWYJ	X004CCRGQT	LUXRUG Washable Area Rug 8x10 - Large Orange Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	TEN1	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNPMDS9920681	
2025-02-28T22:27:27-08:00	113-6073973-8784246	N1338-3-Sage Green-6x9-US-V1	B0DBYT5KQ7	X004CCUZEJ	LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet Soft Modern Rug for Office Nursery Room	1	CVG2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory	LPNNH4511J6N9	
2025-02-28T19:33:13-08:00	112-0229564-2356253	G24267-5-Green-8x10-US-V1	B0DBVM69Y6	X004CBGGHP	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	TEN1	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory	LPNPMDO0262610	
2025-02-28T12:56:42-08:00	111-0599853-2145829	G24268-7-Black-8x10-US-V1	B0DBY8NGRN	X004CCN1OF	LUXRUG Washable Area Rug 8x10 - Large Charcoal Black Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	CVG2	CUSTOMER_DAMAGED	SWITCHEROO	Unit returned to inventory	LPNNH43R3HFN2	
2025-02-28T12:33:34-08:00	113-0890735-2525058	G24268-7-Black-3x5-US-V1	B0DBYP9F11	X004CCTLNZ	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office	1	LEX2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNNA5PG8C7ZP	
2025-02-28T11:30:21-08:00	114-7706191-0084225	G24267-1A-Cream-6x9-US-V1	B0DBYV567L	X004CCKPG7	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Colorful Low-Pile Carpet Soft Vinatge Rug for Office Guest Room	1	LEX2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory	LPNNA5NFT2ZSY	The rug was a good size and good quality, but the colors did not work with existing furniture.
2025-02-28T11:13:27-08:00	112-0142323-2232205	G24267-5-Green-9x12-US-V1	B0DBVMLB8P	X004CBDMCH	LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	CVG2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNNH4T4CM23P	
2025-02-28T10:30:12-08:00	111-7124791-0888212	G24267-2-Beige-8x10-US-V1	B0DBVKBXCB	X004CBGG1B	LUXRUG Washable Area Rug 8x10 - Large Cream Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	CVG2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNNH47YPFY21	
2025-02-28T10:18:34-08:00	114-7484129-6596238	N1338-2-Pink-3x5-US-V1	B0DBYLGSS5	X004CCUYSV	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Pink Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor	1	CHA1	SELLABLE	APPAREL_TOO_SMALL	Unit returned to inventory	LPNNA57QZH87C	Doesn’t fit space as expected. Not used just sat in a box until I had time to return!
2025-02-28T04:43:27-08:00	702-4689225-8887411	G24136-7-Beige-3x5-US-V1	B0DBZ697XG	X004CCV651	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Beige Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor	1	IND8	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory	LPNO311796223	Curled edges, won&#39;t flatten
2025-02-28T04:03:51-08:00	114-0187908-9281864	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	X004CCZFPN	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor	1	LEX1	DEFECTIVE	DEFECTIVE	Unit returned to inventory	LPNNA5K3PPDWC	Dingy colors even after washing.
